Removed Member From Class: ClassName=Minna_CPU Member=P?
Added Component: Designator=P1(CARD EDGE 40 PIN)
Added Pin To Net: NetName=A11 Pin=P1-1
Added Pin To Net: NetName=A12 Pin=P1-2
Added Pin To Net: NetName=A13 Pin=P1-3
Added Pin To Net: NetName=A14 Pin=P1-4
Added Pin To Net: NetName=A15 Pin=P1-5
Added Pin To Net: NetName=CLK Pin=P1-6
Added Pin To Net: NetName=D4 Pin=P1-7
Added Pin To Net: NetName=D3 Pin=P1-8
Added Pin To Net: NetName=D5 Pin=P1-9
Added Pin To Net: NetName=D6 Pin=P1-10
Added Pin To Net: NetName=VCC Pin=P1-11
Added Pin To Net: NetName=D2 Pin=P1-12
Added Pin To Net: NetName=D7 Pin=P1-13
Added Pin To Net: NetName=D0 Pin=P1-14
Added Pin To Net: NetName=D1 Pin=P1-15
Added Pin To Net: NetName=I\N\T\ Pin=P1-16
Added Pin To Net: NetName=NMI Pin=P1-17
Added Pin To Net: NetName=H\A\L\T\ Pin=P1-18
Added Pin To Net: NetName=M\R\E\Q\ Pin=P1-19
Added Pin To Net: NetName=I\O\R\Q\ Pin=P1-20
Added Pin To Net: NetName=A10 Pin=P1-21
Added Pin To Net: NetName=A9 Pin=P1-22
Added Pin To Net: NetName=A8 Pin=P1-23
Added Pin To Net: NetName=A7 Pin=P1-24
Added Pin To Net: NetName=A6 Pin=P1-25
Added Pin To Net: NetName=A5 Pin=P1-26
Added Pin To Net: NetName=A4 Pin=P1-27
Added Pin To Net: NetName=A3 Pin=P1-28
Added Pin To Net: NetName=A2 Pin=P1-29
Added Pin To Net: NetName=A1 Pin=P1-30
Added Pin To Net: NetName=A0 Pin=P1-31
Added Pin To Net: NetName=GND Pin=P1-32
Added Pin To Net: NetName=R\F\S\H\ Pin=P1-33
Added Pin To Net: NetName=M\1\ Pin=P1-34
Added Pin To Net: NetName=R\S\T\ Pin=P1-35
Added Pin To Net: NetName=B\U\S\R\E\Q\ Pin=P1-36
Added Pin To Net: NetName=W\A\I\T\ Pin=P1-37
Added Pin To Net: NetName=B\U\S\A\C\K Pin=P1-38
Added Pin To Net: NetName=W\R\ Pin=P1-39
Added Pin To Net: NetName=R\D\ Pin=P1-40
Added Member To Class: ClassName=Minna_CPU Member=Component P1 CWR-170-40-0000
