Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R23        0603                   730mil        120mil        730mil        120mil    694.566mil        120mil  B        360.00 10K            
R24        0603                   730mil        190mil        730mil        190mil    694.566mil        190mil  B        360.00 10K            
SW0        PTS645SM43SMTR_LFS       3100mil        225mil       3100mil        225mil   2943.504mil    313.582mil  T        360.00 3 HL           
SW1        PTS645SM43SMTR_LFS       3100mil        575mil       3100mil        575mil   2943.504mil    663.582mil  T        360.00 7 HL'          
SW2        PTS645SM43SMTR_LFS       3100mil        925mil       3100mil        925mil   2943.504mil   1013.582mil  T        360.00 B I_IF         
SW3        PTS645SM43SMTR_LFS       3100mil       1275mil       3100mil       1275mil   2943.504mil   1363.582mil  T        360.00 F _PNC'        
SW6        PTS645SM43SMTR_LFS       2700mil        225mil       2700mil        225mil   2543.504mil    313.582mil  T        360.00 2 DE           
SW7        PTS645SM43SMTR_LFS       2700mil        575mil       2700mil        575mil   2543.504mil    663.582mil  T        360.00 6 DE'          
SW8        PTS645SM43SMTR_LFS       2700mil        925mil       2700mil        925mil   2543.504mil   1013.582mil  T        360.00 A SP           
SW9        PTS645SM43SMTR_LFS       2700mil       1275mil       2700mil       1275mil   2543.504mil   1363.582mil  T        360.00 E SZ_H'        
SW12       PTS645SM43SMTR_LFS       2300mil        225mil       2300mil        225mil   2143.504mil    313.582mil  T        360.00 1 BC           
SW13       PTS645SM43SMTR_LFS       2300mil        575mil       2300mil        575mil   2143.504mil    663.582mil  T        360.00 5 BC'          
SW14       PTS645SM43SMTR_LFS       2300mil        925mil       2300mil        925mil   2143.504mil   1013.582mil  T        360.00 9 IY           
SW15       PTS645SM43SMTR_LFS       2300mil       1275mil       2300mil       1275mil   2143.504mil   1363.582mil  T        360.00 D _PNC         
SW16       PTS645SM43SMTR_LFS        700mil        575mil        700mil        575mil    543.504mil    663.582mil  T        360.00 STEP           
SW17       PTS645SM43SMTR_LFS        300mil        225mil        300mil        225mil    143.504mil    313.582mil  T        360.00 USB RD         
SW18       PTS645SM43SMTR_LFS       1900mil        225mil       1900mil        225mil   1743.504mil    313.582mil  T        360.00 0 AF           
SW19       PTS645SM43SMTR_LFS       1900mil        575mil       1900mil        575mil   1743.504mil    663.582mil  T        360.00 4 AF'          
SW20       PTS645SM43SMTR_LFS       1900mil        925mil       1900mil        925mil   1743.504mil   1013.582mil  T        360.00 8 IX           
SW21       PTS645SM43SMTR_LFS       1900mil       1275mil       1900mil       1275mil   1743.504mil   1363.582mil  T        360.00 C SZ_H         
SW22       PTS645SM43SMTR_LFS        700mil        225mil        700mil        225mil    543.504mil    313.582mil  T        360.00 GO             
SW24       PTS645SM43SMTR_LFS       1100mil        925mil       1100mil        925mil    943.504mil   1013.582mil  T        360.00 CBP            
SW25       PTS645SM43SMTR_LFS       1500mil       1275mil       1500mil       1275mil   1343.504mil   1363.582mil  T        360.00 PC             
SW26       PTS645SM43SMTR_LFS       1500mil        925mil       1500mil        925mil   1343.504mil   1013.582mil  T        360.00 REG            
SW27       PTS645SM43SMTR_LFS       1500mil        225mil       1500mil        225mil   1343.504mil    313.582mil  T        360.00 ADDR           
SW28       PTS645SM43SMTR_LFS        700mil        925mil        700mil        925mil    543.504mil   1013.582mil  T        360.00 DEL            
SW29       PTS645SM43SMTR_LFS        300mil        925mil        300mil        925mil    143.504mil   1013.582mil  T        360.00 RELA           
SW31       PTS645SM43SMTR_LFS       1100mil        575mil       1100mil        575mil    943.504mil    663.582mil  T        360.00 DEC            
SW32       PTS645SM43SMTR_LFS       1500mil        575mil       1500mil        575mil   1343.504mil    663.582mil  T        360.00 DATA           
SW33       PTS645SM43SMTR_LFS       1100mil        225mil       1100mil        225mil    943.504mil    313.582mil  T        360.00 INC            
SW34       PTS645SM43SMTR_LFS        700mil       1275mil        700mil       1275mil    543.504mil   1363.582mil  T        360.00 INS            
SW35       PTS645SM43SMTR_LFS        300mil       1275mil        300mil       1275mil    143.504mil   1363.582mil  T        360.00 MOVE           
SW40       PTS645SM43SMTR_LFS        300mil       1975mil        300mil       1975mil    143.504mil   2063.582mil  T        360.00 RESET          
SW41       PTS645SM43SMTR_LFS        300mil       1625mil        300mil       1625mil    143.504mil   1713.582mil  T        360.00 MONI           
SW42       PTS645SM43SMTR_LFS       3100mil       1625mil       3100mil       1625mil   2943.504mil   1713.582mil  T        360.00 INTR           
SW43       PTS645SM43SMTR_LFS       3100mil       1975mil       3100mil       1975mil   2943.504mil   2063.582mil  T        360.00 USER           
U1         LQFP-44               1450mil        550mil       1450mil        550mil   1705.906mil     707.48mil  B        180.00 Z84C0010AEG    
U2         SST39SF010A-70-4C-WHE       2250mil        550mil       2250mil        550mil   2102.362mil     813.78mil  B        270.00 SST39SF010A-70-4C-WHE
U3         IS62C256AL-45TLI       2900mil        550mil       2900mil        550mil   2759.252mil    798.032mil  B        270.00 IS62C256AL-45TLI
U4         DO14                  3050mil       1300mil       3050mil       1300mil   2955.512mil       1150mil  B        360.00 SN74LS90DG4    
U5         PW014                 2300mil       1300mil       2300mil       1300mil   2410.236mil   1376.772mil  B        180.00 SN74HC14PWR    
U6         PW014                 2700mil       1300mil       2700mil       1300mil   2810.236mil   1376.772mil  B        180.00 SN74HC74PWR    
U7         SOT-23-6_DBV_R-PDSO-G6       1900mil        300mil       1900mil        300mil    1846.85mil    262.598mil  B        360.00 SN74LVC1G19DBVR
U9         PW014                 1500mil       1300mil       1500mil       1300mil   1389.764mil   1223.228mil  B        360.00 SN74HC14PWR    
U10        MQFP-44                550mil        550mil        550mil        550mil    294.094mil     392.52mil  B        360.00 CQ82C55AZ      
U8         PW020                  670mil       1130mil        670mil       1130mil    782.204mil   1245.158mil  B        180.00 SN74HC541PWR   
X1         AWSCR-MG              1950mil       1300mil       1950mil       1300mil       1950mil   1201.574mil  B         90.00 AWSCR-3.58MGD-T
SW23       PTS645SM43SMTR_LFS        300mil        575mil        300mil        575mil    143.504mil    663.582mil  T        360.00 USB WR         
DS5        ACSC03-41EWA-F01       2405mil       1855mil       2405mil       1855mil    2286.89mil    1618.78mil  T          0.00 ACSC03-41EWA-F01
J2         CARD_EDGE_40_PIN       3550mil       1100mil       3550mil       1100mil       3550mil       2050mil  T         90.00 CWR-170-40-0000
DS3        ACSC03-41EWA-F01       1805mil       1855mil       1805mil       1855mil    1686.89mil    1618.78mil  T          0.00 ACSC03-41EWA-F01
C12        0805                   745mil       1395mil        745mil       1395mil     705.63mil       1395mil  B        360.00 1.0uF          
C13        0805                   895mil       1595mil        895mil       1595mil     855.63mil       1595mil  B        360.00 1.0uF          
R27        0603                   745mil       1465mil        745mil       1465mil    709.567mil       1465mil  B        360.00 18.0K          
R28        0603                   595mil       1465mil        595mil       1465mil    630.433mil       1465mil  B        180.00 18.0K          
R29        0603                   895mil       1525mil        895mil       1525mil    859.567mil       1525mil  B        360.00 18.0K          

